,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
467,New Zealand,2022-06-24 04:20:58,-40.9006,174.886,1294657,1380.0,,,New Zealand,26847.665801299936,0.1065919390232316,2022-06-23
3719,New Zealand,2020-06-25 05:26:54,-40.9006,174.886,1519,22.0,1484.0,13.0,New Zealand,31.499929596931548,1.4483212639894667,2020-06-24
448,New Zealand,2021-06-25 04:21:33,-40.9006,174.886,2725,26.0,2680.0,19.0,New Zealand,56.5090902907429,0.9541284403669724,2021-06-24
467,New Zealand,2022-06-25 04:20:57,-40.9006,174.886,1303779,1404.0,,,New Zealand,27036.83127712825,0.1076869622842521,2022-06-24
3726,New Zealand,2020-06-26 04:33:43,-40.9006,174.886,1520,22.0,1484.0,14.0,New Zealand,31.520666877772182,1.4473684210526316,2020-06-25
448,New Zealand,2021-06-26 04:21:43,-40.9006,174.886,2729,26.0,2682.0,21.0,New Zealand,56.59203941410546,0.9527299377061196,2021-06-25
467,New Zealand,2022-06-26 04:21:02,-40.9006,174.886,1308387,1410.0,,,New Zealand,27132.38866724192,0.1077662801602278,2022-06-25
3727,New Zealand,2020-06-27 04:33:35,-40.9006,174.886,1522,22.0,1484.0,16.0,New Zealand,31.562141439453463,1.445466491458607,2020-06-26
448,New Zealand,2021-06-27 04:21:39,-40.9006,174.886,2729,26.0,2682.0,21.0,New Zealand,56.59203941410546,0.9527299377061196,2021-06-26
467,New Zealand,2022-06-27 04:21:00,-40.9006,174.886,1314145,1421.0,,,New Zealand,27251.79393032232,0.1081311423016486,2022-06-26
3728,New Zealand,2020-06-28 04:34:04,-40.9006,174.886,1526,22.0,1484.0,20.0,New Zealand,31.645090562816023,1.4416775884665791,2020-06-27
448,New Zealand,2021-06-28 04:21:29,-40.9006,174.886,2738,26.0,2684.0,28.0,New Zealand,56.77867494167121,0.9495982468955442,2021-06-27
467,New Zealand,2022-06-28 04:20:58,-40.9006,174.886,1322476,1437.0,,,New Zealand,27424.55621700569,0.1086598168889265,2022-06-27
3728,New Zealand,2020-06-29 04:33:44,-40.9006,174.886,1528,22.0,1484.0,22.0,New Zealand,31.686565124497303,1.4397905759162304,2020-06-28
448,New Zealand,2021-06-29 04:21:28,-40.9006,174.886,2741,26.0,2685.0,30.0,New Zealand,56.84088678419313,0.9485589201021524,2021-06-28
467,New Zealand,2022-06-29 04:20:59,-40.9006,174.886,1330538,1449.0,,,New Zealand,27591.740175142928,0.108903315801578,2022-06-28
3730,New Zealand,2020-06-30 04:33:48,-40.9006,174.886,1528,22.0,1484.0,22.0,New Zealand,31.686565124497303,1.4397905759162304,2020-06-29
448,New Zealand,2021-06-30 04:21:41,-40.9006,174.886,2742,26.0,2685.0,31.0,New Zealand,56.86162406503377,0.948212983223924,2021-06-29
467,New Zealand,2022-06-30 04:21:01,-40.9006,174.886,1338501,1466.0,,,New Zealand,27756.87114247694,0.1095255065181124,2022-06-29
3732,New Zealand,2020-07-01 04:33:52,-40.9006,174.886,1528,22.0,1484.0,22.0,New Zealand,31.686565124497303,1.4397905759162304,2020-06-30
448,New Zealand,2021-07-01 04:21:19,-40.9006,174.886,2742,26.0,2685.0,31.0,New Zealand,56.86162406503377,0.948212983223924,2021-06-30
467,New Zealand,2022-07-01 04:21:10,-40.9006,174.886,1345796,1473.0,,,New Zealand,27908.149606209405,0.1094519525990566,2022-06-30
3734,New Zealand,2020-07-02 04:33:46,-40.9006,174.886,1530,22.0,1490.0,18.0,New Zealand,31.728039686178583,1.437908496732026,2020-07-01
448,New Zealand,2021-07-02 04:21:47,-40.9006,174.886,2742,26.0,2685.0,31.0,New Zealand,56.86162406503377,0.948212983223924,2021-07-01
3737,New Zealand,2020-07-03 04:33:54,-40.9006,174.886,1530,22.0,1490.0,18.0,New Zealand,31.728039686178583,1.437908496732026,2020-07-02
448,New Zealand,2021-07-03 04:21:37,-40.9006,174.886,2742,26.0,2689.0,27.0,New Zealand,56.86162406503377,0.948212983223924,2021-07-02
3741,New Zealand,2020-07-04 04:33:51,-40.9006,174.886,1530,22.0,1490.0,18.0,New Zealand,31.728039686178583,1.437908496732026,2020-07-03
448,New Zealand,2021-07-04 04:21:38,-40.9006,174.886,2751,26.0,2693.0,32.0,New Zealand,57.04825959259953,0.945110868774991,2021-07-03
3742,New Zealand,2020-07-05 04:33:46,-40.9006,174.886,1533,22.0,1490.0,21.0,New Zealand,31.7902515287005,1.4350945857795172,2020-07-04
448,New Zealand,2021-07-05 04:21:28,-40.9006,174.886,2758,26.0,2693.0,39.0,New Zealand,57.19342055848401,0.9427121102248006,2021-07-04
3743,New Zealand,2020-07-06 04:33:57,-40.9006,174.886,1534,22.0,1490.0,22.0,New Zealand,31.81098880954114,1.434159061277705,2020-07-05
448,New Zealand,2021-07-06 04:21:32,-40.9006,174.886,2758,26.0,2696.0,36.0,New Zealand,57.19342055848401,0.9427121102248006,2021-07-05
3745,New Zealand,2020-07-07 04:34:00,-40.9006,174.886,1536,22.0,1492.0,22.0,New Zealand,31.85246337122242,1.4322916666666667,2020-07-06
448,New Zealand,2021-07-07 04:21:20,-40.9006,174.886,2763,26.0,2697.0,40.0,New Zealand,57.2971069626872,0.9410061527325372,2021-07-06
3746,New Zealand,2020-07-08 05:33:48,-40.9006,174.886,1537,22.0,1492.0,23.0,New Zealand,31.87320065206306,1.431359791802212,2020-07-07
448,New Zealand,2021-07-08 04:21:26,-40.9006,174.886,2764,26.0,2697.0,41.0,New Zealand,57.31784424352784,0.9406657018813314,2021-07-07
3749,New Zealand,2020-07-09 04:34:23,-40.9006,174.886,1540,22.0,1494.0,24.0,New Zealand,31.935412494584977,1.4285714285714286,2020-07-08
448,New Zealand,2021-07-09 04:21:21,-40.9006,174.886,2765,26.0,2707.0,32.0,New Zealand,57.33858152436848,0.9403254972875226,2021-07-08
3749,New Zealand,2020-07-10 04:34:24,-40.9006,174.886,1542,22.0,1497.0,23.0,New Zealand,31.976887056266257,1.4267185473411157,2020-07-09
448,New Zealand,2021-07-10 04:21:25,-40.9006,174.886,2765,26.0,2707.0,32.0,New Zealand,57.33858152436848,0.9403254972875226,2021-07-09
3753,New Zealand,2020-07-11 04:34:26,-40.9006,174.886,1543,22.0,1497.0,24.0,New Zealand,31.997624337106892,1.425793907971484,2020-07-10
448,New Zealand,2021-07-11 04:21:43,-40.9006,174.886,2767,26.0,2707.0,34.0,New Zealand,57.38005608604976,0.93964582580412,2021-07-10
3754,New Zealand,2020-07-12 04:34:30,-40.9006,174.886,1544,22.0,1497.0,25.0,New Zealand,32.018361617947534,1.4248704663212437,2020-07-11
448,New Zealand,2021-07-12 04:21:34,-40.9006,174.886,2768,26.0,2709.0,33.0,New Zealand,57.4007933668904,0.9393063583815028,2021-07-11
3756,New Zealand,2020-07-13 04:43:04,-40.9006,174.886,1544,22.0,1497.0,25.0,New Zealand,32.018361617947534,1.4248704663212437,2020-07-12
448,New Zealand,2021-07-13 04:21:18,-40.9006,174.886,2786,26.0,2717.0,43.0,New Zealand,57.77406442202192,0.933237616654702,2021-07-12
3756,New Zealand,2020-07-14 04:34:46,-40.9006,174.886,1545,22.0,1498.0,25.0,New Zealand,32.039098898788176,1.4239482200647249,2020-07-13
448,New Zealand,2021-07-14 04:21:35,-40.9006,174.886,2790,26.0,2722.0,42.0,New Zealand,57.85701354538448,0.931899641577061,2021-07-13
3763,New Zealand,2020-07-15 04:34:39,-40.9006,174.886,1547,22.0,1498.0,27.0,New Zealand,32.08057346046945,1.4221073044602457,2020-07-14
448,New Zealand,2021-07-15 04:21:48,-40.9006,174.886,2794,26.0,2723.0,45.0,New Zealand,57.93996266874703,0.9305654974946314,2021-07-14
3764,New Zealand,2020-07-16 04:44:59,-40.9006,174.886,1548,22.0,1499.0,27.0,New Zealand,32.101310741310094,1.421188630490956,2020-07-15
448,New Zealand,2021-07-16 04:21:22,-40.9006,174.886,2803,26.0,2729.0,48.0,New Zealand,58.126598196312784,0.9275775954334642,2021-07-15
3766,New Zealand,2020-07-17 04:34:50,-40.9006,174.886,1549,22.0,1506.0,21.0,New Zealand,32.122048022150736,1.4202711426726922,2020-07-16
448,New Zealand,2021-07-17 04:22:22,-40.9006,174.886,2803,26.0,2729.0,48.0,New Zealand,58.126598196312784,0.9275775954334642,2021-07-16
3777,New Zealand,2020-07-18 04:34:45,-40.9006,174.886,1550,22.0,1506.0,22.0,New Zealand,32.14278530299137,1.4193548387096775,2020-07-17
448,New Zealand,2021-07-18 04:22:07,-40.9006,174.886,2814,26.0,2743.0,45.0,New Zealand,58.35470828555982,0.923951670220327,2021-07-17
3857,New Zealand,2020-07-19 04:34:58,-40.9006,174.886,1553,22.0,1506.0,25.0,New Zealand,32.20499714551329,1.4166130070830651,2020-07-18
448,New Zealand,2021-07-19 04:21:24,-40.9006,174.886,2817,26.0,2744.0,47.0,New Zealand,58.41692012808174,0.9229676961306356,2021-07-18
3857,New Zealand,2020-07-20 05:34:40,-40.9006,174.886,1554,22.0,1506.0,26.0,New Zealand,32.22573442635393,1.4157014157014156,2020-07-19
448,New Zealand,2021-07-20 04:21:48,-40.9006,174.886,2822,26.0,2745.0,51.0,New Zealand,58.52060653228494,0.9213323883770376,2021-07-19
3771,New Zealand,2020-07-21 04:38:46,-40.9006,174.886,1555,22.0,1506.0,27.0,New Zealand,32.24647170719457,1.414790996784566,2020-07-20
448,New Zealand,2021-07-21 04:21:40,-40.9006,174.886,2828,26.0,2746.0,56.0,New Zealand,58.64503021732877,0.9193776520509194,2021-07-20
3862,New Zealand,2020-07-22 04:34:42,-40.9006,174.886,1555,22.0,1506.0,27.0,New Zealand,32.24647170719457,1.414790996784566,2020-07-21
448,New Zealand,2021-07-22 04:21:19,-40.9006,174.886,2835,26.0,2747.0,62.0,New Zealand,58.79019118321325,0.9171075837742504,2021-07-21
3863,New Zealand,2020-07-23 05:15:04,-40.9006,174.886,1555,22.0,1511.0,22.0,New Zealand,32.24647170719457,1.414790996784566,2020-07-22
448,New Zealand,2021-07-23 04:21:29,-40.9006,174.886,2855,26.0,2749.0,80.0,New Zealand,59.20493680002605,0.9106830122591943,2021-07-22
3834,New Zealand,2020-07-24 05:30:40,-40.9006,174.886,1556,22.0,1513.0,21.0,New Zealand,32.26720898803521,1.4138817480719794,2020-07-23
448,New Zealand,2021-07-24 00:21:36,-40.9006,174.886,2855,26.0,2749.0,80.0,New Zealand,59.20493680002605,0.9106830122591943,2021-07-23
3866,New Zealand,2020-07-25 04:47:39,-40.9006,174.886,1556,22.0,1513.0,21.0,New Zealand,32.26720898803521,1.4138817480719794,2020-07-24
448,New Zealand,2021-07-25 04:22:12,-40.9006,174.886,2862,26.0,2778.0,58.0,New Zealand,59.350097765910526,0.9084556254367576,2021-07-24
3866,New Zealand,2020-07-26 04:35:00,-40.9006,174.886,1556,22.0,1513.0,21.0,New Zealand,32.26720898803521,1.4138817480719794,2020-07-25
448,New Zealand,2021-07-26 04:21:28,-40.9006,174.886,2863,26.0,2783.0,54.0,New Zealand,59.37083504675116,0.9081383164512749,2021-07-25
3868,New Zealand,2020-07-27 04:35:02,-40.9006,174.886,1556,22.0,1513.0,21.0,New Zealand,32.26720898803521,1.4138817480719794,2020-07-26
448,New Zealand,2021-07-27 04:21:18,-40.9006,174.886,2863,26.0,2785.0,52.0,New Zealand,59.37083504675116,0.9081383164512749,2021-07-26
3868,New Zealand,2020-07-28 04:58:43,-40.9006,174.886,1557,22.0,1514.0,21.0,New Zealand,32.28794626887585,1.4129736673089277,2020-07-27
448,New Zealand,2021-07-28 04:21:39,-40.9006,174.886,2864,26.0,2795.0,43.0,New Zealand,59.3915723275918,0.9078212290502792,2021-07-27
3870,New Zealand,2020-07-29 04:35:11,-40.9006,174.886,1559,22.0,1514.0,23.0,New Zealand,32.32942083055713,1.4111610006414368,2020-07-28
448,New Zealand,2021-07-29 04:21:33,-40.9006,174.886,2867,26.0,2795.0,46.0,New Zealand,59.45378417011372,0.9068712940355772,2021-07-28
