,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
36,New York,US,2020-09-20 04:30:31,42.1657,-74.9481,451655,32915,76101.0,342639.0,36.0,2321.708606460277,,,,84000036.0,USA,50489.9385773124,,2020-09-19,9822091.0,7.287642116217024
36,New York,US,2021-09-20 04:31:19,42.1657,-74.9481,2373659,54904,,,36.0,12201.668373209408,68130725.0,,2.3130533914096336,84000036.0,USA,350222.3834494877,,2021-09-19,,
36,New York,US,2020-09-21 04:30:33,42.1657,-74.9481,452507,32921,76179.0,343407.0,36.0,2326.0882673357337,,,,84000036.0,USA,51005.80813970255,,2020-09-20,9922446.0,7.275246570771281
36,New York,US,2021-09-21 04:31:47,42.1657,-74.9481,2377102,54927,,,36.0,12219.366932357523,68338422.0,,2.310670724268458,84000036.0,USA,351290.038877715,,2021-09-20,,
36,New York,US,2020-09-22 04:30:33,42.1657,-74.9481,453142,32993,76218.0,343931.0,36.0,2329.352451204178,,,,84000036.0,USA,51305.59387044871,,2020-09-21,9980765.0,7.280940632296278
36,New York,US,2021-09-22 04:32:02,42.1657,-74.9481,2382450,54983,,,36.0,12246.858043110977,68454972.0,,2.307834372179899,84000036.0,USA,351889.1579798681,,2021-09-21,,
36,New York,US,2020-09-23 04:30:25,42.1657,-74.9481,453730,33097,76246.0,344387.0,36.0,2332.375034061887,,,,84000036.0,USA,51737.37600020892,,2020-09-22,10064762.0,7.294426200603883
36,New York,US,2021-09-23 04:31:15,42.1657,-74.9481,2387008,55028,,,36.0,12270.28820070526,68598737.0,,2.305312759739389,84000036.0,USA,352628.17434813094,,2021-09-22,,
36,New York,US,2020-09-24 04:30:25,42.1657,-74.9481,454299,33098,76306.0,344895.0,36.0,2335.299948425895,,,,84000036.0,USA,52101.98790853768,,2020-09-23,10135692.0,7.285510203632409
36,New York,US,2021-09-24 04:31:40,42.1657,-74.9481,2392060,55066,,,36.0,12296.25773913578,68777133.0,,2.302032557711763,84000036.0,USA,353545.2095377294,,2021-09-23,,
36,New York,US,2020-09-25 04:30:27,42.1657,-74.9481,455400,33103,76382.0,345915.0,36.0,2340.9595806135444,,,,84000036.0,USA,52579.80788196053,,2020-09-24,10228645.0,7.268994290733421
36,New York,US,2021-09-25 04:31:33,42.1657,-74.9481,2398152,55107,,,36.0,12327.5733424847,68975980.0,,2.297894378671577,84000036.0,USA,354567.37200967985,,2021-09-24,,
